Product ID;URL to Product Image;URL to Product Details;Language Key;Product Name;Product Description;Brand ID;Is Base Product;Open Access;Publisher Code;ImprintCode;PublisherName;Medium;Publisher ID;DOI
707;https://covers.springernature.com/journals/jpg_width_153_pixels/707.jpg;https://link.springer.com/journal/707;EN;Acta Mechanica;Acta Mechanica;SPR;X;false;SPVW;SPR;Springer Vienna;;SPVW;10.1007/707.1619-6937
10338;https://covers.springernature.com/journals/jpg_width_153_pixels/10338.jpg;https://link.springer.com/journal/10338;EN;Acta Mechanica Solida Sinica;Acta Mechanica Solida Sinica;SPR;X;false;SPVS;SPR;Springer Nature Singapore;;SPVS;
40195;https://covers.springernature.com/journals/jpg_width_153_pixels/40195.jpg;https://link.springer.com/journal/40195;EN;Acta Metallurgica Sinica (English Letters);Acta Metallurgica Sinica  English Letters;SPR;X;false;CSME;SPR;The Chinese Society for Metals;;CSME;
701;https://covers.springernature.com/journals/jpg_width_153_pixels/701.jpg;https://link.springer.com/journal/701;EN;Acta Neurochirurgica;Acta Neurochirurgica;SPR;X;false;SPVW;SPR;Springer Vienna;;SPVW;10.1007/701.0942-0940
13760;https://covers.springernature.com/journals/jpg_width_153_pixels/13760.jpg;https://link.springer.com/journal/13760;EN;Acta Neurologica Belgica;Acta Neurologica Belgica;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;10.1007/13760.2240-2993
401;https://covers.springernature.com/journals/jpg_width_153_pixels/401.jpg;https://link.springer.com/journal/401;EN;Acta Neuropathologica;Acta Neuropathologica;SPR;X;false;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/401.1432-0533
13131;https://covers.springernature.com/journals/jpg_width_153_pixels/13131.jpg;https://link.springer.com/journal/13131;EN;Acta Oceanologica Sinica;Acta Oceanologica Sinica;SPR;X;false;SPVB;CSOC;Springer Berlin Heidelberg;;SPVB;10.1007/13131.1869-1099
11686;https://covers.springernature.com/journals/jpg_width_153_pixels/11686.jpg;https://link.springer.com/journal/11686;EN;Acta Parasitologica;Acta Parasitologica;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
41401;https://covers.springernature.com/journals/jpg_width_153_pixels/41401.jpg;https://link.springer.com/journal/41401;EN;Acta Pharmacologica Sinica;Acta Pharmacologica Sinica;SPR;X;false;SPVS;NPG;Springer Nature Singapore;;SPVS;10.1038/41401.1745-7254
11738;https://covers.springernature.com/journals/jpg_width_153_pixels/11738.jpg;https://link.springer.com/journal/11738;EN;Acta Physiologiae Plantarum;Acta Physiologiae Plantarum;SPR;X;false;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/11738.1861-1664
